Time,Rain Rate (mm/hr),Attenuation (dB)
8.13850440,0.21307287,1.33090870
8.13878440,0.20585992,1.49786910
8.13906440,0.19854400,1.55489130
8.13934440,0.19241644,0.47958772
8.13962440,0.18828518,0.56513054
8.13990440,0.19333922,2.09313320
8.14018440,0.18846709,1.86827950
8.14046440,0.20508697,1.96838740
8.14074440,0.21566173,1.06677300
8.14102440,0.22366414,0.76282381
8.14130440,0.23032932,0.34039363
8.14158440,0.23621729,0.98011486
8.14186440,0.24784965,0.42282446
8.14214440,0.26599581,0.46290279
8.14242440,0.28642930,1.35942510
8.14270440,0.29404287,0.93808291
8.14298440,0.32799371,1.54193350
8.14326440,0.34174377,1.73618440
8.14354440,0.37810114,1.18981100
8.14382440,0.38507312,0.01458380
8.14410440,0.40058153,1.04493010
8.14438440,0.47532353,2.08969190
8.14466440,0.52852985,1.10442110
8.14494440,0.58433119,1.53722710
8.14522440,0.64065726,1.01767990
8.14550440,0.73300042,1.86089120
8.14578440,0.73989238,1.61815870
8.14606440,0.80402395,1.16282450
8.14634440,0.80532363,0.90020842
8.14662440,0.88361907,1.41091130
8.14690440,0.90751791,1.24522630
8.14718440,0.92203464,0.51258552
8.14746440,0.99321562,0.61596400
8.14774440,1.06190370,0.69246658
8.14802440,1.15732680,1.42669890
8.14830440,1.27745160,1.16153760
8.14858440,1.26870410,1.05203620
8.14886440,1.21724630,1.27705390
8.14914440,1.23078380,0.98902225
8.14942440,1.29596270,1.49211500
8.14970440,1.44171430,0.95057907
8.14998440,1.49427320,1.28382440
8.15026440,1.48537940,0.96411806
8.15054440,1.49483600,1.77183060
8.15082440,1.47995170,1.51734110
8.15110440,1.49365520,1.18876620
8.15138440,1.47277160,1.31086910
8.15166440,1.52198440,1.27576330
8.15194440,1.48080760,1.24172250
8.15222440,1.49989200,1.23639450
8.15250440,1.52441050,1.20498840
8.15278440,1.58592400,0.88784896
8.15306440,1.65676430,1.52218000
8.15334440,1.73881360,1.06948600
8.15362440,1.81255400,1.22717560
8.15390440,1.94123450,0.90446580
8.15418440,2.02479110,1.65082520
8.15446440,2.05735250,1.23717300
8.15474440,2.05970940,1.12513270
8.15502440,2.12341220,0.97315472
8.15530440,2.22292840,1.01199500
8.15558440,2.32638280,1.13898690
8.15586440,2.38267910,1.03976170
8.15614440,2.37671430,0.97340845
8.15642440,2.40781610,1.34574980
8.15670440,2.36188860,1.40139530
8.15698440,2.28860870,1.19836510
8.15726440,2.28644660,1.56640610
8.15754440,2.25067110,1.05281100
8.15782440,2.28119540,0.79106274
8.15810440,2.16870190,1.29915970
8.15838440,2.08551180,1.51890910
8.15866440,2.09228370,1.60191520
8.15894440,2.13689350,1.60610130
8.15922440,2.12630760,1.64216150
8.15950440,2.03014680,1.47408670
8.15978440,2.03889780,1.16866480
8.16006440,2.12581700,1.28745370
8.16034440,2.05819300,1.46768760
8.16062440,2.12202100,1.09859040
8.16090440,2.14467450,1.26744820
8.16118440,2.10307200,1.24250110
8.16146440,2.09882270,0.78541090
8.16174440,2.02894330,1.07014010
8.16202440,2.05475660,1.82055100
8.16230440,2.13346520,1.46493500
8.16258440,2.10243730,1.43974180
8.16286440,2.09480410,1.98094900
8.16314440,2.03658440,1.81383770
8.16342440,1.96602120,1.52937200
8.16370440,1.90684550,1.63298370
8.16398440,1.92294110,1.38040470
8.16426440,1.90907940,1.53644270
8.16454440,1.82583440,1.41052040
8.16482440,1.82065830,1.55463380
8.16510440,1.77570110,1.90932230
8.16538440,1.67203730,1.26692470
8.16566440,1.58963330,1.49433080
8.16594440,1.53199560,1.86907030
8.16622440,1.53919630,1.07155730
8.16650440,1.52319060,1.36163360
8.16678440,1.45159570,2.06967110
8.16706440,1.43425300,1.98544690
8.16734440,1.41815320,1.79789800
8.16762440,1.42890510,1.68441590
8.16790440,1.43948360,1.46389510
8.16818440,1.43164010,1.55830000
8.16846440,1.43422460,1.09703890
8.16874440,1.45066500,1.61173670
8.16902440,1.42290450,1.83900600
8.16930440,1.49758140,2.06715060
8.16958440,1.51677110,1.75341830
8.16986440,1.45074830,1.48884650
8.17014440,1.42533110,1.89294970
8.17042440,1.46029270,1.78933860
8.17070440,1.50262670,1.96256620
8.17098440,1.53949660,1.28057300
8.17126440,1.58083340,1.90417740
8.17154440,1.52857030,1.82029190
8.17182440,1.48526630,1.38144240
8.17210440,1.42563470,1.66000700
8.17238440,1.39966740,1.48179640
8.17266440,1.41052490,1.60452990
8.17294440,1.35699530,1.56444380
8.17322440,1.34007170,1.94538000
8.17350440,1.36746920,1.73303160
8.17378440,1.42847700,1.14430170
8.17406440,1.45439060,1.75184120
8.17434440,1.45753470,1.78158230
8.17462440,1.49624400,1.73803190
8.17490440,1.46168690,1.67497030
8.17518440,1.43616160,1.36502590
8.17546440,1.46478150,1.46442120
8.17574440,1.45224930,1.71489550
8.17602440,1.57750640,2.30802600
8.17630440,1.63632640,2.32882420
8.17658440,1.61892290,1.74605080
8.17686440,1.59490930,1.64373430
8.17714440,1.51343050,1.73724360
8.17742440,1.51804590,2.21147820
8.17770440,1.52309100,1.87051600
8.17798440,1.53193830,1.91143740
8.17826440,1.64147720,1.42799440
8.17854440,1.70654400,1.68205430
8.17882440,1.79319730,1.46115500
8.17910440,1.84923800,1.55357940
8.17938440,1.78271830,1.56995070
8.17966440,1.77556500,1.40243360
8.17994440,1.76425470,2.49776570
8.18022440,1.84815850,2.02475900
8.18050440,2.00158340,2.43151780
8.18078440,1.94578380,1.78907960
8.18106440,1.94838420,1.77328520
8.18134440,1.93059530,2.53393570
8.18162440,1.92632730,2.34777020
8.18190440,1.93340610,2.10189290
8.18218440,1.91107880,1.52440980
8.18246440,1.80486090,2.25858900
8.18274440,1.72776990,1.74157930
8.18302440,1.75033990,2.01337440
8.18330440,1.73023940,2.23942160
8.18358440,1.68278060,2.58141040
8.18386440,1.66749470,2.03945960
8.18414440,1.63019090,2.26165760
8.18442440,1.52976410,2.20336790
8.18470440,1.46818750,2.16867720
8.18498440,1.43469480,2.49375150
8.18526440,1.38640400,2.64076900
8.18554440,1.31992280,2.26351630
8.18582440,1.28651510,1.79211340
8.18610440,1.31411880,2.26577440
8.18638440,1.32739730,2.02700410
8.18666440,1.43316000,2.07483680
8.18694440,1.51875310,2.32362680
8.18722440,1.61981060,2.25152960
8.18750440,1.65907280,2.14050770
8.18778440,1.57445600,1.95595340
8.18806440,1.67567050,2.11767760
8.18834440,1.62308780,2.34323290
8.18862440,1.70337420,1.90219870
8.18890440,1.82512960,2.43005240
8.18918440,1.82850090,2.51732780
8.18946440,1.91250200,2.31695610
8.18974440,2.15964650,2.75837250
8.19002440,2.30018150,2.41747940
8.19030440,2.35472990,2.43031540
8.19058440,2.63135690,2.62438330
8.19086440,2.94318240,2.34670770
8.19114440,3.19628260,2.30535350
8.19142440,3.36789210,2.74180270
8.19170440,3.94441800,2.41935760
8.19198440,4.16126650,2.58651410
8.19226440,4.49866270,2.54413220
8.19254440,5.13946770,2.39397150
8.19282440,6.11517660,2.60786560
8.19310440,6.51818910,2.19685340
8.19338440,7.15609630,2.84497350
8.19366440,7.92143260,2.58839980
8.19394440,8.52102960,2.70370250
8.19422440,9.52030150,2.97600320
8.19450440,10.39506500,2.53031980
8.19478440,11.28584200,2.48771840
8.19506440,12.03260700,2.92593320
8.19534440,12.09060800,3.16589320
8.19562440,12.43058300,2.70424460
8.19590440,13.57720500,2.90672710
8.19618440,13.97536000,2.38140930
8.19646440,14.49591700,1.66578510
8.19674440,14.55465800,2.59256130
8.19702440,15.28312900,2.83227690
8.19730440,15.86198100,3.86878380
8.19758440,16.27375000,3.10595650
8.19786440,16.21604600,3.50744450
8.19814440,16.22428500,3.00581420
8.19842440,16.97470800,2.53728820
8.19870440,17.19567600,3.28712660
8.19898440,17.74322700,3.25917770
8.19926440,17.55352600,3.03170770
8.19954440,17.27681100,3.37028680
8.19982440,17.61878300,3.09766080
8.20010440,17.30716200,3.21176430
8.20038440,17.15490300,3.50387460
8.20066440,17.13471800,2.58423870
8.20094440,17.42766700,2.84956490
8.20122440,17.82451500,3.80442010
8.20150440,17.96491900,4.09380230
8.20178440,18.18813700,3.52815070
8.20206440,18.95124200,4.40335410
8.20234440,19.10145300,3.84901850
8.20262440,19.40894600,3.39830680
8.20290440,20.13774700,3.08585610
8.20318440,21.02893100,3.70461010
8.20346440,21.17701400,4.43133120
8.20374440,21.94903600,3.84626210
8.20402440,22.22375900,4.15968810
8.20430440,22.94765300,3.86878380
8.20458440,22.98056600,3.83244410
8.20486440,23.39469900,4.81662880
8.20514440,23.46599500,4.40727120
8.20542440,23.06376300,3.83065890
8.20570440,23.55063800,3.44305010
8.20598440,23.99640100,3.27704610
8.20626440,23.62785700,3.35293060
8.20654440,23.90402200,3.98004300
8.20682440,24.11872200,3.62398540
8.20710440,23.98582200,3.52402670
8.20738440,24.33014200,3.19515940
8.20766440,23.95212100,3.43127990
8.20794440,23.73528600,4.39803580
8.20822440,23.35787300,4.90207750
8.20850440,23.44019700,4.54986190
8.20878440,23.36078500,4.13006670
8.20906440,23.45725000,4.59464430
8.20934440,23.61435300,4.37958370
8.20962440,23.71232900,3.60226910
8.20990440,23.35312100,3.82139790
8.21018440,23.51875700,4.09588420
8.21046440,24.14676300,3.64227290
8.21074440,24.21989000,2.89672200
8.21102440,23.98936300,3.48715870
8.21130440,24.58454400,3.33134740
8.21158440,24.98779400,3.87126960
8.21186440,24.86752000,4.14897840
8.21214440,25.22392200,2.94229560
8.21242440,25.50369000,3.16698910
8.21270440,25.12698900,4.00526780
8.21298440,25.16821500,4.55141260
8.21326440,25.39195200,3.51333940
8.21354440,25.24534500,2.65999440
8.21382440,24.79316800,3.86905560
8.21410440,24.31102600,4.05825590
8.21438440,24.68898700,4.05228870
8.21466440,25.66066700,4.39007260
8.21494440,26.08237300,3.93780390
8.21522440,26.64093100,4.31965580
8.21550440,27.07309500,3.69634240
8.21578440,27.87716300,3.44647410
8.21606440,28.99910100,3.40377710
8.21634440,29.90255300,2.86360790
8.21662440,30.12718700,2.98263880
8.21690440,29.87587100,3.40391800
8.21718440,30.32598800,3.21612690
8.21746440,30.85896200,3.74675900
8.21774440,31.03401700,3.88440020
8.21802440,31.27091000,3.96314780
8.21830440,31.87675600,3.34541940
8.21858440,32.08291700,3.14985360
8.21886440,31.12122400,3.00242470
8.21914440,30.62491300,3.23355650
8.21942440,30.40118200,2.93161050
8.21970440,30.23818300,3.16698910
8.21998440,30.56216900,3.47112930
8.22026440,30.60195000,3.70722870
8.22054440,29.98399000,3.50935800
8.22082440,30.31968300,3.38750900
8.22110440,29.96915300,3.62301970
8.22138440,30.49629800,3.50099830
8.22166440,30.56247800,3.62632890
8.22194440,30.43490900,3.48728710
8.22222440,29.71667200,4.07200030
8.22250440,30.02745200,3.57342480
8.22278440,29.53841700,3.50880580
8.22306440,29.74714900,4.18515660
8.22334440,29.71499600,4.17012670
8.22362440,29.77931800,4.10310640
8.22390440,30.34839400,3.86284160
8.22418440,30.13884000,3.73973570
8.22446440,30.73628900,3.93102290
8.22474440,30.51315800,4.63159670
8.22502440,30.34326600,4.75359820
8.22530440,30.33321700,4.13202010
8.22558440,30.71787700,4.28798330
8.22586440,30.58187600,4.37637600
8.22614440,30.89447400,4.20770430
8.22642440,30.89778400,3.65877680
8.22670440,30.22574400,4.06880110
8.22698440,30.20077100,4.99248440
8.22726440,30.03224900,4.50738100
8.22754440,29.78699500,4.32176110
8.22782440,29.27078100,4.67545670
8.22810440,28.66078900,4.34157670
8.22838440,28.57151100,4.06547220
8.22866440,28.96411300,3.75958190
8.22894440,28.75554700,3.96356300
8.22922440,28.66613200,4.11157940
8.22950440,30.41504100,3.81878550
8.22978440,30.27105800,4.07797010
8.23006440,30.88661600,4.23361730
8.23034440,30.86593900,3.65327480
8.23062440,31.76777800,4.08658150
8.23090440,32.34153700,4.10964000
8.23118440,33.57984600,4.43118700
8.23146440,34.18314700,4.99065360
8.23174440,34.57000700,4.60897170
8.23202440,34.66816900,5.30255120
8.23230440,34.67280500,5.78754810
8.23258440,33.69149600,5.79201310
8.23286440,34.17155200,5.66674310
8.23314440,33.92999700,5.11856920
8.23342440,33.82876500,5.07328290
8.23370440,34.12768200,5.74681510
8.23398440,34.43657100,5.80972890
8.23426440,35.33860300,5.65222690
8.23454440,35.80991600,5.92063570
8.23482440,35.35852500,5.86767060
8.23510440,34.95882900,5.86306350
8.23538440,34.93961300,6.13698190
8.23566440,34.83349800,5.96311130
8.23594440,34.84514200,5.87027830
8.23622440,34.41281400,6.07929150
8.23650440,34.28253500,6.32107870
8.23678440,33.86441800,5.85643060
8.23706440,33.42175400,5.92915760
8.23734440,33.35090000,5.86392810
8.23762440,32.91083700,5.87791300
8.23790440,32.15267000,6.08262970
8.23818440,32.27687100,5.79402320
8.23846440,31.76301200,5.69345950
8.23874440,31.28453500,6.06017580
8.23902440,30.18158700,5.94244400
8.23930440,29.58507600,6.26419520
8.23958440,29.27900200,6.17353990
8.23986440,28.92779100,6.30041110
8.24014440,27.83610700,6.05655430
8.24042440,26.99386600,6.51345540
8.24070440,27.10841900,6.59417260
8.24098440,26.98143200,6.75764650
8.24126440,26.36250500,6.09480380
8.24154440,25.32824300,6.26768210
8.24182440,24.88711800,6.57340550
8.24210440,24.08378300,6.43956500
8.24238440,23.01162000,6.57281620
8.24266440,22.08901100,6.24050160
8.24294440,21.32256100,6.38225940
8.24322440,20.27276900,6.09348720
8.24350440,19.27852000,5.64088870
8.24378440,19.04906700,6.46772950
8.24406440,19.29783200,6.71215190
8.24434440,19.71547900,6.85141780
8.24462440,20.39495700,6.91426750
8.24490440,21.02588000,7.17387450
8.24518440,21.80275200,6.77615020
8.24546440,22.50321200,6.36622020
8.24574440,23.18560900,6.21114540
8.24602440,23.74564900,6.29459130
8.24630440,24.51063100,7.37946660
8.24658440,24.42824000,6.89895470
8.24686440,24.28067600,7.02988240
8.24714440,24.40074300,6.86067910
8.24742440,24.49228500,7.23712130
8.24770440,24.22811400,7.41767070
8.24798440,24.39735900,7.13007190
8.24826440,24.91870600,7.35569200
8.24854440,25.18284200,7.23816260
8.24882440,25.14771500,7.27270560
8.24910440,25.56594400,7.42912490
8.24938440,25.58769100,7.70284900
8.24966440,25.19893100,7.57841260
8.24994440,25.04397300,7.67398390
8.25022440,25.10218300,8.25111520
8.25050440,25.70405300,8.20564150
8.25078440,25.98783900,8.36759260
8.25106440,26.33205300,8.51877890
8.25134440,26.62867000,8.05321740
8.25162440,26.76949700,7.88366790
8.25190440,27.03512000,8.13155700
8.25218440,27.65192500,7.92675720
8.25246440,28.35034600,7.68804330
8.25274440,29.15636100,7.76539530
8.25302440,30.24944700,7.32672620
8.25330440,31.21332300,7.41470310
8.25358440,31.74065200,7.21918560
8.25386440,31.68449700,7.25239650
8.25414440,31.42165900,7.03873350
8.25442440,31.65818800,6.71933980
8.25470440,31.23353500,6.67753250
8.25498440,30.92017700,6.99460380
8.25526440,30.59608100,7.11957040
8.25554440,30.93916300,7.23889850
8.25582440,30.90812600,7.01201890
8.25610440,31.67487200,7.35747330
8.25638440,32.18786200,6.61833620
8.25666440,31.65865900,7.14605000
8.25694440,30.71519500,7.18512230
8.25722440,30.27331100,6.93092360
8.25750440,30.13490500,7.11527620
8.25778440,28.82200400,6.90543790
8.25806440,28.18371800,7.14381860
8.25834440,27.98167800,6.77086670
8.25862440,27.67644000,6.90822460
8.25890440,27.49877300,7.04242650
8.25918440,27.12866900,6.34743020
8.25946440,27.26129300,6.58145090
8.25974440,26.98570600,6.76043880
8.26002440,26.71407300,6.32748800
8.26030440,26.53071900,6.48028560
8.26058440,26.45054400,6.39988800
8.26086440,26.49117100,6.26796820
8.26114440,26.31539200,6.22276600
8.26142440,26.30526400,6.20330910
8.26170440,25.97781700,6.42920550
8.26198440,26.00278000,6.08030920
8.26226440,26.08175100,5.23245440
8.26254440,26.38638900,4.78742770
8.26282440,26.04734000,5.25751620
8.26310440,26.30540800,5.52502310
8.26338440,26.76378800,5.95544970
8.26366440,27.02724600,5.10379250
8.26394440,27.38321500,5.20655290
8.26422440,28.11349200,5.39701680
8.26450440,28.46941600,4.83823100
8.26478440,28.53810800,4.66927690
8.26506440,27.42234500,5.24242960
8.26534440,27.23182800,6.14132940
8.26562440,26.88453100,5.95544970
8.26590440,26.62336000,5.66702570
8.26618440,27.04027200,5.37530540
8.26646440,26.89413100,5.07115660
8.26674440,26.70629000,5.58865700
8.26702440,26.33771900,5.14825610
8.26730440,26.14781300,5.25139290
8.26758440,27.15930000,5.97062520
8.26786440,27.14254600,5.44287980
8.26814440,27.63409700,5.43488470
8.26842440,27.76958100,4.71500560
8.26870440,27.86069800,4.60587950
8.26898440,28.54094900,5.02847810
8.26926440,28.50831100,5.71113940
8.26954440,29.22067500,5.94722090
8.26982440,29.51968300,5.96614380
8.27010440,29.50009300,5.68355180
8.27038440,29.67829200,5.35875090
8.27066440,29.53603700,4.90758630
8.27094440,29.17473700,4.98908820
8.27122440,29.62821800,5.39930490
8.27150440,30.16087500,5.47878680
8.27178440,30.72705600,5.60156850
8.27206440,30.63881800,5.94374310
8.27234440,29.59120800,6.13046130
8.27262440,29.34258300,5.40915430
8.27290440,28.13339200,5.28814450
8.27318440,26.98988300,5.43846020
8.27346440,27.18639000,5.81836650
8.27374440,26.39326200,5.63385580
8.27402440,25.48921400,5.74709810
8.27430440,24.82979400,5.62753640
8.27458440,23.94656000,5.56356930
8.27486440,24.00284100,5.52401690
8.27514440,25.15782300,5.16503060
8.27542440,26.15729000,5.39886330
8.27570440,27.81403900,5.50755860
8.27598440,29.03913300,4.96473820
8.27626440,29.83994000,5.13220610
8.27654440,30.48175500,4.92116240
8.27682440,31.30929400,4.86053100
8.27710440,32.79348300,4.65548410
8.27738440,33.04225100,4.51143830
8.27766440,33.72891200,4.25744260
8.27794440,33.60983900,4.60209030
8.27822440,34.63212700,4.83624750
8.27850440,34.42379500,5.24769800
8.27878440,34.48584700,4.95356210
8.27906440,33.86150400,5.29185590
8.27934440,33.92708100,4.72571600
8.27962440,33.53101300,4.20659560
8.27990440,32.26114900,4.43063650
8.28018440,31.50999400,4.17096080
8.28046440,31.04546900,4.96501660
8.28074440,31.23800500,4.76995530
8.28102440,30.85513800,4.13173360
8.28130440,30.05899500,4.25702470
8.28158440,29.33596900,3.94985150
8.28186440,30.00245300,4.08310810
8.28214440,29.96165900,4.53065260
8.28242440,29.76092000,4.87550940
8.28270440,29.13074400,4.37860170
8.28298440,28.63602300,4.11784080
8.28326440,29.32900300,4.20046540
8.28354440,29.40491300,3.48276900
8.28382440,29.36934600,3.27758260
8.28410440,29.55918400,3.35579730
8.28438440,29.45612700,3.50716200
8.28466440,29.83408900,3.13693960
8.28494440,29.39197700,3.23410530
8.28522440,28.98183100,3.14889830
8.28550440,28.68661300,3.94902140
8.28578440,28.35039500,3.52100780
8.28606440,28.53661300,3.51264590
8.28634440,28.16949800,3.62783540
8.28662440,27.51190500,3.58139950
8.28690440,26.92454300,3.56327850
8.28718440,27.05811600,3.75916870
8.28746440,27.43360000,3.46181460
8.28774440,27.31162400,3.57919990
8.28802440,27.12657500,3.48810860
8.28830440,27.34235100,3.28413670
8.28858440,27.29028600,3.23314820
8.28886440,27.35017000,3.39092870
8.28914440,27.07367900,2.97519130
8.28942440,27.48838800,2.91916700
8.28970440,27.54430500,3.22088560
8.28998440,27.64892900,3.25154210
8.29026440,27.64838800,3.31073360
8.29054440,27.73381200,2.97208330
8.29082440,28.33186400,2.53702450
8.29110440,28.11463000,2.34883280
8.29138440,28.35089200,2.95636890
8.29166440,28.77615700,3.24390790
8.29194440,28.13730400,2.85644670
8.29222440,27.69236300,2.66442740
8.29250440,27.98073900,2.59684900
8.29278440,28.12091600,2.81150760
8.29306440,28.96682300,2.23356210
8.29334440,28.65839100,2.27750320
8.29362440,28.36416100,2.46108770
8.29390440,28.82310600,2.62746620
8.29418440,28.69885400,2.40104250
8.29446440,28.71694600,2.73736160
8.29474440,28.40497800,2.00106310
8.29502440,28.44846000,1.73789640
8.29530440,27.76264200,1.87290090
8.29558440,27.06847500,1.95040640
8.29586440,26.57284900,2.02528000
8.29614440,26.76340100,2.47700890
8.29642440,26.32869100,2.51357530
8.29670440,26.03057200,2.60517410
8.29698440,26.29134700,2.89050480
8.29726440,25.83636400,2.31428310
8.29754440,25.34734800,2.42778540
8.29782440,24.18312900,2.22943610
8.29810440,23.20156200,2.94093920
8.29838440,22.38398800,2.11714310
